"","cell.subset","gene","logFC"
"1","osteoblast","ADGRB2",2.78727710068998
"2","osteoblast","ADM2",3.76879084432017
"3","osteoblast","AGGF1",0.928713541503273
"4","osteoblast","AOPEP",-0.465608562104952
"5","osteoblast","AP4M1",0.806453036812998
"6","osteoblast","APBB2",1.24511473258249
"7","osteoblast","APMAP",-0.979314620221456
"8","osteoblast","ARMCX2",1.24207595912426
"9","osteoblast","C12orf49",-0.733095227914206
"10","osteoblast","CARD8",1.44693305488047
"11","osteoblast","CC2D2A",1.45998297995913
"12","osteoblast","CFH",3.80254966344848
"13","osteoblast","COLEC12",-4.40469018943986
"14","osteoblast","CPT1C",-3.01205226899254
"15","osteoblast","CSNK1D",-0.695044280081273
"16","osteoblast","DCPS",-1.0047443698145
"17","osteoblast","DMAC2L",-1.10038144351568
"18","osteoblast","DNAJC9",-1.00378181555707
"19","osteoblast","EGFL7",2.66499383709624
"20","osteoblast","ENTPD6",1.41756546254173
"21","osteoblast","GALK1",-1.15361888338399
"22","osteoblast","GALNT5",5.89919603544191
"23","osteoblast","GPR1",4.04505174664325
"24","osteoblast","H2AX",-0.753388759656605
"25","osteoblast","H2BC11",-2.39921260015425
"26","osteoblast","HIF1A",2.19272265499847
"27","osteoblast","HSPA13",1.11395433836233
"28","osteoblast","IK",-0.745349855844437
"29","osteoblast","KCTD1",1.2401136244866
"30","osteoblast","LMO7",2.67355808563758
"31","osteoblast","LRP12",1.50157785441762
"32","osteoblast","M6PR",-0.749595030261033
"33","osteoblast","MAPKAPK3",-1.43886037949466
"34","osteoblast","MED29",-1.09699661978886
"35","osteoblast","MLH1",0.821373789733927
"36","osteoblast","MOSPD3",-0.837378126689686
"37","osteoblast","MVB12A",-0.956681473745621
"38","osteoblast","NGLY1",-0.927253077705305
"39","osteoblast","NPTXR",1.96039223777054
"40","osteoblast","NRSN2",1.57647733316476
"41","osteoblast","NUBP1",-0.841785664151507
"42","osteoblast","NUP155",0.968580272439518
"43","osteoblast","OAZ3",2.5814997589823
"44","osteoblast","OCEL1",-1.403285154106
"45","osteoblast","PABPC1L",2.24871356350191
"46","osteoblast","PANX2",3.54831220496188
"47","osteoblast","PARN",1.26476915087086
"48","osteoblast","PGM2",-0.887473753789744
"49","osteoblast","PIGBOS1",-1.06261044736805
"50","osteoblast","PIGQ",0.945257949144332
"51","osteoblast","PLPP5",1.13482486043923
"52","osteoblast","POFUT1",0.960724223415752
"53","osteoblast","PPP1R3F",2.12172252383055
"54","osteoblast","SAMD14",2.42409489744611
"55","osteoblast","SDF4",1.03236123003485
"56","osteoblast","SEC31A",0.873392251777607
"57","osteoblast","SLC25A15",1.01967899937851
"58","osteoblast","SLC25A20",1.61046398787205
"59","osteoblast","SLC35D2",-1.45210308540899
"60","osteoblast","SLC37A4",-1.55411052305594
"61","osteoblast","SMDT1",-1.29205259057226
"62","osteoblast","STK16",-1.09563518633195
"63","osteoblast","SURF1",-0.763081839498067
"64","osteoblast","SVBP",-1.08945528683321
"65","osteoblast","TELO2",1.05928718320417
"66","osteoblast","TMEM250",0.70841295723794
"67","osteoblast","TRIB3",2.20814961827344
"68","osteoblast","TRIM32",0.733546354248467
"69","osteoblast","TUBE1",1.17903484173592
"70","osteoblast","UBA2",-0.519398810863245
"71","osteoblast","USE1",-0.943630695389979
"72","osteoblast","WASF3",3.38292914258762
"73","osteoblast","ZNF516",1.02090341878831
