Abbr,Abbr_Details,Name,Name_Details,Rep,MSC_Media,Cell_Viability_Average,Cell_Viability_SEM,Total_Events_Collected,Gate_1_Average,Gate_1_SEM,Gate_2_Average,Gate_2_SEM,Gate_3_Average,Gate_3_SEM,CD90_Average,CD90_SEM,CD105_Average,CD105_SEM,CD73_Average,CD73_SEM,CD45/CD34/CD11b/CD19/HLA-DR_Average,CD45/CD34/CD11b/CD19/HLA-DR_SEM
H1,H1 iPSC - control,H23555,H23555 iPSC - control - rep1,avg,NA,0.828333333,0.032497863,50000,0.251533333,0.006759027,0.996333333,0.000133333,0.230366667,0.012528678,0.0021,0.00061101,0.001166667,0.000176383,0.0025,0.000896289,0.0017,0.000655744
H1,H1 iPSC - cocktail,H23555,H23555 iPSC - cocktail - rep1,avg,NA,0.828333333,0.032497863,50000,0.262266667,0.005702144,0.995966667,0.000554777,0.2401,0.021245235,0.6572,0.009819029,0.000733333,0.00024037,0.001266667,0.000120185,0.001966667,0.000497773
H1,H1 MSC - cocktail,H23555,H23555 MSC - cocktail - rep1,avg,3B,0.906,0.048332184,50000,0.145766667,0.001905547,0.9951,0.000416333,0.722233333,0.017314477,0.601633333,0.009824177,0.694166667,0.003527196,0.9414,0.00554617,0.015233333,0.010830564
H2,H2 iPSC - control,H20157,H20157 iPSC - control,avg,NA,0.725,0.075487306,50000,0.3583,0.002343786,0.998666667,0.000176383,0.450233333,0.010018039,0.000833333,0.000218581,0.0014,0.00011547,0.002466667,0.000775314,0.008466667,0.001820562
H2,H2 iPSC - cocktail,H20157,H20157 iPSC - cocktail,avg,NA,0.725,0.075487306,50000,0.356066667,0.00399597,0.998866667,8.82E-05,0.447733333,0.007708077,0.8596,0.006392965,0.0043,0.00140119,0.001133333,0.000437163,0.005033333,0.000785988
H2,H2 MSC - cocktail,H20157,H20157 MSC - cocktail,avg,3B,0.971666667,0.004013865,50000,0.267033333,0.005933052,0.995933333,0.000405518,0.8063,0.001616581,0.993166667,0.000808977,0.8865,0.002458319,0.986633333,0.000935117,0.002133333,0.000260342
H3,H3 iPSC - control,H28126,H28126 iPSC - control,avg,NA,0.763333333,0.071864069,50000,0.320266667,0.003256958,0.999366667,0.000202759,0.5974,0.012755522,0.000833333,8.82E-05,0.0009,0.000450925,0.001666667,0.000440959,0.0055,0.001417745
H3,H3 iPSC - cocktail,H28126,H28126 iPSC - cocktail,avg,NA,0.763333333,0.071864069,50000,0.318,0.013509379,0.999466667,8.82E-05,0.594833333,0.011167264,0.895633333,0.009472299,0.000933333,0.000133333,0.001166667,0.000384419,0.002533333,0.000296273
H3,H3 MSC - cocktail,H28126,H28126 MSC - cocktail,avg,3B,NA,NA,4531,0.1949,#DIV/0!,0.9853,#DIV/0!,0.3713,#DIV/0!,0.1981,#DIV/0!,0.3901,#DIV/0!,0.6223,#DIV/0!,0.3189,#DIV/0!
H4,H4 iPSC - control,H28834,H28834 iPSC - control,avg,NA,0.516666667,0.023475756,50000,0.252533333,0.007244845,0.9982,0.000321455,0.429533333,0.027819977,0.0014,0.000458258,0.003866667,0.001667666,0.007766667,0.001549552,0.015,0.003555747
H4,H4 iPSC - cocktail,H28834,H28834 iPSC - cocktail,avg,NA,0.516666667,0.023475756,50000,0.252766667,0.005654595,0.997866667,8.82E-05,0.4139,0.032827174,0.908433333,0.005592058,0.005866667,0.000497773,0.002733333,0.00034801,0.008566667,0.000176383
H4,H4 MSC - cocktail,H28834,H28834 MSC - cocktail,avg,2B,0.78,0.004472136,50000,0.204333333,0.002434018,0.979633333,0.0011392,0.524333333,0.007576792,0.9449,0.000907377,0.701,0.003675595,0.915333333,0.000491031,0.002533333,0.000405518
H5,H5 iPSC - control,H21792,H21792 iPSC - control,avg,NA,0.445,0.002236068,50000,0.304633333,0.0010105,0.998833333,0.000145297,0.475933333,0.014608825,0.0023,0.00011547,0.0296,0.006144103,0.017066667,0.003571337,0.011366667,0.003382964
H5,H5 iPSC - cocktail,H21792,H21792 iPSC - cocktail,avg,NA,0.445,0.002236068,50000,0.302566667,0.00079652,0.998633333,6.67E-05,0.4904,0.011615507,0.807633333,0.008849922,0.0379,0.004095119,0.003033333,0.001128913,0.011633333,0.004073219
H5,H5 MSC - cocktail,H21792,H21792 MSC - cocktail,avg,2B,0.92,0.013416408,50000,0.143233333,0.002362438,0.982633333,0.00111704,0.351433333,0.002748535,0.7422,0.002861818,0.0543,0.007277362,0.4837,0.006882102,0.0042,0.001115049
H6,H6 iPSC - control,H20961,H20961 iPSC - control,avg,NA,0.736666667,0.040797603,50000,0.2452,0.007919806,0.999033333,0.000145297,0.6945,0.029029353,0.000533333,6.67E-05,0.013266667,0.006706796,0.027933333,0.013757463,0.0213,0.009052256
H6,H6 iPSC - cocktail,H20961,H20961 iPSC - cocktail,avg,NA,0.736666667,0.040797603,50000,0.2372,0.004348563,0.999033333,8.82E-05,0.700133333,0.024448676,0.726066667,0.009221051,0.020766667,0.007929971,0.007633333,0.004622529,0.0055,0.001457166
H6,H6 MSC - cocktail,H20961,H20961 MSC - cocktail,avg,2B,0.858333333,0.032084957,50000,0.190233333,0.005397633,0.9933,0.000351188,0.648433333,0.003435275,0.919633333,0.004420156,0.148233333,0.01232698,0.907866667,0.006218342,0.0069,0.001361372
H1-r2,H1-r2 iPSC - control,H23555,H23555 iPSC - control - rep2,avg,NA,0.555,0.052009614,50000,0.3728,0.006368935,0.951866667,0.00723794,0.554,0.036553294,0.043833333,0.003293596,0.0671,0.017888916,0.004233333,0.000845248,0.006766667,8.82E-05
H1-r2,H1-r2 iPSC - cocktail,H23555,H23555 iPSC - cocktail - rep2,avg,NA,0.555,0.052009614,50000,0.3813,0.007642207,0.951166667,0.007165736,0.586633333,0.026012839,0.8535,0.006785524,0.092666667,0.014575931,0.0037,0.000776745,0.0063,0.00061101
H1-r2,H1-r2 MSC - cocktail,H23555,H23555 MSC - cocktail - rep2,avg,2B,0.978333333,0.009098229,50000,0.136166667,0.002564068,0.9353,0.003726929,0.782166667,0.00474845,0.9481,0.0039128,0.787733333,0.03250253,0.010966667,0.001713022,0.0049,0.000608276
C1,C1 iPSC - control,C8861,C8861 iPSC - control - rep1,avg,NA,0.69,0.078782401,50000,0.275566667,0.008412953,0.9993,0.000152753,0.527666667,0.011953428,0.001266667,0.000145297,0.0011,0.0007,0.002466667,0.000973539,0.001766667,0.00031798
C1,C1 iPSC - cocktail,C8861,C8861 iPSC - cocktail - rep1,avg,NA,0.69,0.078782401,50000,0.278866667,0.001297861,0.999266667,8.82E-05,0.539933333,0.005724897,0.926266667,0.005683113,0.000233333,0.000133333,0.000266667,0.000133333,0.0017,5.77E-05
C1,C1 MSC - cocktail,C8861,C8861 MSC - cocktail - rep1,avg,3B,0.983333333,0.006146363,50000,0.1438,0.005550075,0.997533333,0.000384419,0.7969,0.014350029,0.949233333,0.004458076,0.605666667,0.011102152,0.880366667,0.032377478,0.0054,0.002902298
C2,C2 iPSC - control,C3647,C3647 iPSC - control,avg,NA,0.675,0.034034296,50000,0.309866667,0.007872808,0.9981,0.000450925,0.210566667,0.010333978,0.0014,0.0007,0.0006,0.000458258,0.0008,0.000360555,0.002066667,0.000145297
C2,C2 iPSC - cocktail,C3647,C3647 iPSC - cocktail,avg,NA,0.675,0.034034296,50000,0.300466667,0.012854874,0.997733333,0.000371184,0.2159,0.010283968,0.7474,0.020585756,0.0006,0.000173205,0.0002,0.0001,0.002266667,0.000440959
C2,C2 MSC - cocktail,C3647,C3647 MSC - cocktail,avg,3B,0.968333333,0.015581328,45282,0.0482,0.004665119,0.979566667,0.000536449,0.473966667,0.016197771,0.936266667,0.005030684,0.047333333,0.001897659,0.700166667,0.021812942,0.0041,0.0008
C3,C3 iPSC - control,C3649,C3649 iPSC - control,avg,NA,0.883333333,0.016666667,50000,0.3314,0.01351382,0.999566667,3.33E-05,0.335133333,0.029719821,0.000733333,3.33E-05,0.000766667,0.000566667,0.0007,0.00051316,0.005933333,0.0026308
C3,C3 iPSC - cocktail,C3649,C3649 iPSC - cocktail,avg,NA,0.883333333,0.016666667,50000,0.3244,0.001569501,0.9993,0,0.322,0.03714889,0.929533333,0.010853929,0.001066667,0.000592546,0.000633333,0.000133333,0.002833333,0.00105251
C3,C3 MSC - cocktail,C3649,C3649 MSC - cocktail,avg,3B,0.865,0.061196405,50000,0.154266667,0.01237502,0.994033333,0.000392994,0.656633333,0.009695761,0.930566667,0.001649579,0.036766667,0.002810892,0.527266667,0.000633333,0.0038,0.001250333
C4,C4 iPSC - control,C40210,C40210 iPSC - control,avg,NA,0.851666667,0.031771755,50000,0.260533333,0.011268294,0.998966667,0.000185592,0.523133333,0.021082404,0.0013,0.000208167,0.001033333,0.000589727,0.002066667,0.000783865,0.009933333,0.002283516
C4,C4 iPSC - cocktail,C40210,C40210 iPSC - cocktail,avg,NA,0.851666667,0.031771755,50000,0.254733333,0.007953476,0.9986,0.00011547,0.540666667,0.005000111,0.875833333,0.006190405,0.000633333,0.000176383,0.000333333,0.000185592,0.005833333,0.001545244
C4,C4 MSC - cocktail,C40210,C40210 MSC - cocktail,avg,2B,0.986666667,0.005577734,50000,0.043133333,0.002034972,0.982633333,0.00171885,0.537466667,0.004674161,0.879233333,0.008200068,0.010566667,0.003781681,0.3609,0.014828801,0.0041,0.001178983
C5,C5 iPSC - control,C40280,C40280 iPSC - control,avg,NA,0.765,0.029297326,50000,0.3579,0.006077006,0.9997,7.85E-17,0.724033333,0.013110089,0.0006,0.00011547,0.0151,0.003859188,0.0206,0.005978573,0.006,0.000550757
C5,C5 iPSC - cocktail,C40280,C40280 iPSC - cocktail,avg,NA,0.765,0.029297326,50000,0.359666667,0.001988578,0.999533333,0.000120185,0.7211,0.002165641,0.970033333,0.002290803,0.0257,0.005047772,0.008833333,0.002603417,0.003,0.000493288
C5,C5 MSC - cocktail,C40280,C40280 MSC - cocktail,avg,2B,0.725,0.083855034,50000,0.087733333,0.006062544,0.985633333,0.00221535,0.4348,0.028576972,0.882866667,0.008361884,0.0685,0.005957348,0.414166667,0.010635841,0.007133333,0.000817177
C6,C6 iPSC - control,C3624,C3624 iPSC - control,avg,NA,0.778333333,0.015365907,50000,0.388033333,0.008715758,0.9998,5.77E-05,0.751466667,0.01200088,0.0005,0.000152753,0.016,0.002926317,0.0234,0.005021288,0.0054,0.001331666
C6,C6 iPSC - cocktail,C3624,C3624 iPSC - cocktail,avg,NA,0.778333333,0.015365907,50000,0.384033333,0.003376553,0.999666667,3.33E-05,0.7448,0.00407799,0.9774,0.0006245,0.018133333,0.004948176,0.005433333,0.001918622,0.006533333,0.002543838
C6,C6 MSC - cocktail,C3624,C3624 MSC - cocktail,avg,2B,0.96,0.004472136,50000,0.138866667,0.001841497,0.6919,0.300050001,0.6059,0.003350124,0.9357,0.002289833,0.0852,0.00370045,0.7882,0.002250185,0.007433333,0.001483614
C1-r2,C1-r2 iPSC - control,C8861,C8861 iPSC - control - rep2,avg,NA,0.585,0.031596413,50000,0.4836,0.008320056,0.9871,0.001153256,0.630633333,0.032899966,0.014233333,0.001128913,0.017466667,0.00530482,0.0024,0.001457166,0.0053,0.0018
C1-r2,C1-r2 iPSC - cocktail,C8861,C8861 iPSC - cocktail - rep2,avg,NA,0.585,0.031596413,50000,0.478233333,0.010545826,0.9882,0.000416333,0.6532,0.015602671,0.967733333,0.004583424,0.0138,0.002271563,0.001033333,0.000260342,0.002766667,0.000176383
C1-r2,C1-r2 MSC - cocktail,C8861,C8861 MSC - cocktail - rep2,avg,2B,0.983333333,0.006666667,50000,0.0913,0.0018037,0.654233333,0.013029496,0.543966667,0.005818457,0.887133333,0.007109227,0.0942,0.011360604,0.007566667,0.000328295,0.005466667,0.001386042
